ratio,year,class_id,title,class,basename,url
2,2024,2,DeLiVoTr: Deep and light-weight voxel transformer for 3D object detection,XFORM-DIM,DeLiVoTr- Deep and Light-weight Voxel Transformer for 3D Object Detection,https://pdf.sciencedirectassets.com/779210/1-s2.0-S2667305324X00022/1-s2.0-S2667305324000371/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEID%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQCi%2Bp8kVNUTn2ArfV%2FwwmPXrqdcxFYK%2Fw86D4hCiPp%2BfAIhAJu1468gJJNQq1HdXRgme1n2lFyD9Y6SLyXxzBY818KYKrMFCEkQBRoMMDU5MDAzNTQ2ODY1IgwRmk1OqZGG3TXT6YIqkAWAf1WSjqHej0WE96NiQZDwlIfCc5vBWqSbYPreaGszzny8QC%2FaH1r59s5iQ33JEHT015%2FIEuD%2FPz%2FlZXs%2Figass%2FmjotK2%2BBttCo4TvqxF3San3IZ6b71i7u%2B%2BwFPCqp2QErf%2FhTsqcgSyQhs30m6L7F7d8xOB%2F5w7fKdzbm7VrhRR9VbCVLTw2mXiatGnXMo41hzwKdMarVhzc4qZWWkSK2MFwb9aEaY6P6M9%2FGSGUuahw7xGLsQ%2FTRtHXvv4oZsqzNSyDT77NbzmrlIVcet1%2FEh8dbtpwa%2FuR6soNOht1o%2BznIYqPLBJleIHRipMoulOkB%2BQ91x7voaJqit5v%2B%2Fbs036ZnI8vTyxbgZiIre2nkl3E9Rx5lz3Cn8L6rhKTi%2BNbaiXvNSBplyOx7PnVBbrkWmAT00RR%2Br9MALDzAeUrKkB0jVmjMWQtTQ3GN%2Bpk5c6kjcf0sEK3iGa1xehe%2FH157NMHX%2BiBFrA6A7Qv2YEVkQ9NKPje7ZiJoKHJ2ed%2BNi0VZ6eP3gxy0ZcUKT4eUblcb48CAVQKJgEtHMKveUiC1WSMB6AFVp8UuaPNhn%2Bq0XmWztFX0800%2BvBK0gD7ZSLMIDzVs8NdJ1Wyo86LpvW1wWy0aXVABHYGHbTYJQNkWzxuPUMpqYs4SJE7yCdJ6bHhOd27A1q3IrtRSUebH8F16PIHKjX4w%2BTu%2FnpcskrHN7PJQjxErB4ZcU75zzqNbeqCUK%2FqJaQ%2FhHrpkByYXinSb2scj%2BJ2xSW%2B4lwu3PuaNKJhdl2nwAzCqNHzvRZKM4pIleW5iZC9C1hBG0%2BqEtwyQyn7B8gDZGvfUldg4XA%2F3RV5RP4y5hxWsYCdx5DQ0dWFCNa8jykt%2BXsgYoUJSyqyjDzte%2FKBjqwAbFg%2FCbsGHKUqP8Gv9EToJgzg%2B2PRd3kecoboKAhRO2isDzPOnqlfaVzTvxGsV2tqSM4pI%2BAE%2B2MdLeZEWPaiNVkTsQ6DSosEETPCA0mjDmdBYjZ86Bc95oAIbyX3X6vxY4xvOI1S%2BYb8LauVXuAAetuonSOTdbm0YtbDaow1IiLpArX8FwhaUJ3yQ5Bk6s4JW8BY8LVGf%2FEf%2B1HHmGaFhRgHAJlN8ijViWcMh%2FiNRxw&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260105T164628Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY7G2CLOJV%2F20260105%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=80199c8900e852aaed7eb21869b0579dc266aae747276605c215c12dc1a8d51d&hash=cd939ad527cb9ae6286112db165cdefb775b0eef2015f7e763e2421f5ef419e3&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S2667305324000371&tid=spdf-c9fdabc4-2f77-4ed0-b7f7-771120a921f9&sid=8f303b0597ac424c513bfe300157d800b0a8gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1b165b055955505500&rr=9b9473b15acf147f&cc=us
2,2024,2,OccWorld: Learning a 3D Occupancy World Model for Autonomous Driving,XFORM-DIM,OccWorld- Learning a 3D Occupancy World Model for Autonomous Driving,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02024.pdf
2,2024,2,ScatterFormer: Efficient Voxel Transformer with Scattered Linear Attention,XFORM-DIM,ScatterFormer- Efficient Voxel Transformer with Scattered Linear Attention,https://arxiv.org/pdf/2401.00912.pdf
2,2025,1,ComRoPE: Scalable and Robust Rotary Position Embedding Parameterized by Trainable Commuting Angle Matrices,POS-ENCDR,ComRoPE- Scalable and Robust Rotary Position Embedding Parameterized by Trainable Commuting Angle Matrices,https://arxiv.org/pdf/2506.03737.pdf
2,2025,1,PFformer: A Position-Free Transformer Variant for Extreme-Adaptive Multivariate Time Series Forecasting,POS-ENCDR,PFformer- A Position-Free Transformer Variant for Extreme-Adaptive Multivariate Time Series Forecasting,https://arxiv.org/pdf/2502.20571.pdf
2,2025,2,Point-voxel dual transformer for LiDAR 3D object detection (PV-DT3D),XFORM-DIM,Point-voxel dual transformer for LiDAR 3D object detection (PV-DT3D),https://www.researching.cn/ArticlePdf/m00050/2025/21/9/6.pdf
1.33,2018,1,Music Transformer,POS-ENCDR,Music Transformer,https://arxiv.org/pdf/1809.04281.pdf
1.33,2021,2,Twins: Revisiting the Design of Spatial Attention in Vision Transformers,XFORM-DIM,Twins- Revisiting the Design of Spatial Attention in Vision Transformers,https://arxiv.org/pdf/2104.13840.pdf
1.17,2021,2,ViViT: A Video Vision Transformer,XFORM-DIM,ViViT- A Video Vision Transformer,https://openaccess.thecvf.com/content/ICCV2021/papers/Arnab_ViViT_A_Video_Vision_Transformer_ICCV_2021_paper.pdf
1.1667,2021,1,A Simple and Effective Positional Encoding for Transformers,POS-ENCDR,A Simple and Effective Positional Encoding for Transformers,https://aclanthology.org/2021.emnlp-main.236.pdf
1.125,2025,1,HoPE: Hyperbolic Rotary Positional Encoding for Stable Long-Range Dependency Modeling in Large Language Models,POS-ENCDR,HoPE- Hyperbolic Rotary Positional Encoding for Stable Long-Range Dependency Modeling in Large Language Models,https://arxiv.org/pdf/2509.05218.pdf
1,2019,1,NEZHA: Neural Contextualized Representation for Chinese Language Understanding,POS-ENCDR,NEZHA- Neural Contextualized Representation for Chinese Language Understanding,https://arxiv.org/pdf/1909.00204.pdf
1,2019,2,LXMERT: Learning Cross-Modality Encoder Representations from Transformers,XFORM-DIM,LXMERT- Learning Cross-Modality Encoder Representations from Transformers,https://arxiv.org/pdf/1908.07490.pdf
1,2019,2,VideoBERT: A Joint Model for Video and Language Representation Learning,XFORM-DIM,VideoBERT- A Joint Model for Video and Language Representation Learning,https://arxiv.org/pdf/1904.01766.pdf
1,2019,2,ViLBERT: Pretraining Task-Agnostic Vision-and-Language Representations,XFORM-DIM,ViLBERT- Pretraining Task-Agnostic Vision-and-Language Representations,https://arxiv.org/pdf/1908.02265.pdf
1,2020,1,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,POS-ENCDR,DeBERTa- Decoding-enhanced BERT with Disentangled Attention,https://arxiv.org/pdf/2006.03654.pdf
1,2020,1,Learning to Encode Position for Transformer with Continuous Dynamical Model (FLOATER),POS-ENCDR,Learning to Encode Position for Transformer with Continuous Dynamical Model (FLOATER),https://arxiv.org/pdf/2003.09229.pdf
1,2020,2,An Image is Worth 16×16 Words: Transformers for Image Recognition at Scale (ViT),XFORM-DIM,An Image is Worth 16×16 Words- Transformers for Image Recognition at Scale (ViT),https://arxiv.org/pdf/2010.11929.pdf
1,2020,2,End-to-End Object Detection with Transformers (DETR),XFORM-DIM,End-to-End Object Detection with Transformers (DETR),https://arxiv.org/pdf/2005.12872.pdf
1,2020,2,Taming Transformers for High-Resolution Image Synthesis,XFORM-DIM,Taming Transformers for High-Resolution Image Synthesis,https://arxiv.org/pdf/2012.09841.pdf
1,2021,1,BROS: A Pre-trained Language Model Focusing on Text and Layout for Better Key Information Extraction from Documents,POS-ENCDR,BROS- A Pre-trained Language Model Focusing on Text and Layout for Better Key Information Extraction from Documents,https://arxiv.org/pdf/2108.04539.pdf
1,2021,1,ConViT: Improving Vision Transformers with Soft Convolutional Inductive Biases,POS-ENCDR,ConViT- Improving Vision Transformers with Soft Convolutional Inductive Biases,https://arxiv.org/pdf/2103.10697.pdf
1,2021,1,RoFormer: Enhanced Transformer with Rotary Position Embedding (RoPE),POS-ENCDR,RoFormer- Enhanced Transformer with Rotary Position Embedding (RoPE),https://arxiv.org/pdf/2104.09864.pdf
1,2021,2,3DETR: An End-to-End Transformer Model for 3D Object Detection,XFORM-DIM,3DETR- An End-to-End Transformer Model for 3D Object Detection,https://arxiv.org/pdf/2109.08141.pdf
1,2021,2,AST: Audio Spectrogram Transformer,XFORM-DIM,AST- Audio Spectrogram Transformer,https://arxiv.org/pdf/2104.01778.pdf
1,2021,2,CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification,XFORM-DIM,CrossViT- Cross-Attention Multi-Scale Vision Transformer for Image Classification,https://arxiv.org/pdf/2103.14899.pdf
1,2021,2,CSWin Transformer: A General Vision Transformer Backbone with Cross-Shaped Windows,XFORM-DIM,CSWin Transformer- A General Vision Transformer Backbone with Cross-Shaped Windows,https://arxiv.org/pdf/2107.00652.pdf
1,2021,2,CvT: Introducing Convolutions to Vision Transformers,XFORM-DIM,CvT- Introducing Convolutions to Vision Transformers,https://arxiv.org/pdf/2103.15808.pdf
1,2021,2,DETR3D: 3D Object Detection from Multi-view Images via 3D-to-2D Queries,XFORM-DIM,DETR3D- 3D Object Detection from Multi-view Images via 3D-to-2D Queries,https://arxiv.org/pdf/2110.06922.pdf
1,2021,2,Graphormer: Do Transformers Really Perform Bad for Graph Representation?,XFORM-DIM,Graphormer- Do Transformers Really Perform Bad for Graph Representation-,https://arxiv.org/pdf/2106.05234.pdf
1,2021,2,Is Space-Time Attention All You Need for Video Understanding? (TimeSformer),XFORM-DIM,Is Space-Time Attention All You Need for Video Understanding- (TimeSformer),https://arxiv.org/pdf/2102.05095.pdf
1,2021,2,Perceiver / Perceiver IO,XFORM-DIM,Perceiver - Perceiver IO,https://arxiv.org/pdf/2103.03206.pdf
1,2021,2,Point Transformer (PT),XFORM-DIM,Point Transformer (PT),https://openaccess.thecvf.com/content/ICCV2021/papers/Zhao_Point_Transformer_ICCV_2021_paper.pdf
1,2021,2,SegFormer: Simple and Efficient Design for Semantic Segmentation with Transformers,XFORM-DIM,SegFormer- Simple and Efficient Design for Semantic Segmentation with Transformers,https://arxiv.org/pdf/2105.15203.pdf
1,2021,2,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,XFORM-DIM,Swin Transformer- Hierarchical Vision Transformer using Shifted Windows,https://openaccess.thecvf.com/content/ICCV2021/papers/Liu_Swin_Transformer_Hierarchical_Vision_Transformer_Using_Shifted_Windows_ICCV_2021_paper.pdf
1,2021,2,Tokens-to-Token ViT (T2T-ViT),XFORM-DIM,Tokens-to-Token ViT (T2T-ViT),https://arxiv.org/pdf/2101.11986.pdf
1,2021,2,VATT: Transformers for Multimodal Self-Supervised Learning,XFORM-DIM,VATT- Transformers for Multimodal Self-Supervised Learning,https://arxiv.org/pdf/2104.11178.pdf
1,2021,2,Video Swin Transformer,XFORM-DIM,Video Swin Transformer,https://arxiv.org/pdf/2106.13230.pdf
1,2021,2,ViLT: Vision-and-Language Transformer Without Convolution or Region Supervision,XFORM-DIM,ViLT- Vision-and-Language Transformer Without Convolution or Region Supervision,https://arxiv.org/pdf/2102.03334.pdf
1,2021,2,Zero-Shot Text-to-Image Generation,XFORM-DIM,Zero-Shot Text-to-Image Generation,https://arxiv.org/pdf/2102.12092.pdf
1,2022,1,KERPLE: Kernelized Relative Positional Embedding for Length Extrapolation,POS-ENCDR,KERPLE- Kernelized Relative Positional Embedding for Length Extrapolation,https://arxiv.org/pdf/2205.09921.pdf
1,2022,1,Tackling the Abstraction and Reasoning Corpus with Vision Transformers: the ViTARC Architecture,POS-ENCDR,Tackling the Abstraction and Reasoning Corpus with Vision Transformers- the ViTARC Architecture,https://openreview.net/pdf?id=0gOQeSHNX1
1,2022,2,LIFT: Learning 4D LiDAR Image Fusion Transformer for 3D Object Detection,XFORM-DIM,LIFT- Learning 4D LiDAR Image Fusion Transformer for 3D Object Detection,https://openaccess.thecvf.com/content/CVPR2022/papers/Zeng_LIFT_Learning_4D_LiDAR_Image_Fusion_Transformer_for_3D_Object_CVPR_2022_paper.pdf
1,2022,2,Mask2Former: Masked-attention Mask Transformer for Universal Image Segmentation,XFORM-DIM,Mask2Former- Masked-attention Mask Transformer for Universal Image Segmentation,https://arxiv.org/pdf/2112.01527.pdf
1,2022,2,MaxViT: Multi-Axis Vision Transformer,XFORM-DIM,MaxViT- Multi-Axis Vision Transformer,https://arxiv.org/pdf/2204.01697.pdf
1,2022,2,Sparse4D: Multi-view 3D Object Detection with Sparse Spatial-Temporal Fusion,XFORM-DIM,Sparse4D- Multi-view 3D Object Detection with Sparse Spatial-Temporal Fusion,https://arxiv.org/pdf/2211.10581.pdf
1,2022,2,TransNeRF: Generalizable Neural Radiance Fields for Novel View Synthesis with Transformer,XFORM-DIM,TransNeRF- Generalizable Neural Radiance Fields for Novel View Synthesis with Transformer,https://arxiv.org/pdf/2206.05375.pdf
1,2023,2,4D-Former: Multimodal 4D Panoptic Segmentation,XFORM-DIM,4D-Former- Multimodal 4D Panoptic Segmentation,https://arxiv.org/pdf/2311.01520.pdf
1,2023,2,Mask4D: End-to-End Mask-Based 4D Panoptic Segmentation for LiDAR Sequences,XFORM-DIM,Mask4D- End-to-End Mask-Based 4D Panoptic Segmentation for LiDAR Sequences,https://www.ipb.uni-bonn.de/wp-content/papercite-data/pdf/marcuzzi2023ral-meem.pdf
1,2023,2,Transformer-based Point Cloud Generation Network,XFORM-DIM,Transformer-based Point Cloud Generation Network,https://dl.acm.org/doi/pdf/10.1145/3581783.3612226
1,2024,1,Exploring Context Window of LLMs,POS-ENCDR,Exploring Context Window of LLMs,https://proceedings.neurips.cc/paper_files/paper/2024/file/1403ab1a427050538ec59c7f570aec8b-Paper-Conference.pdf
1,2024,1,LieRE: Lie Rotational Positional Encodings,POS-ENCDR,LieRE- Lie Rotational Positional Encodings,https://arxiv.org/pdf/2406.10322.pdf
1,2024,1,Rotary Position Embedding for Vision Transformer (RoPE‑Mixed),POS-ENCDR,Rotary Position Embedding for Vision Transformer (RoPE‑Mixed),https://arxiv.org/pdf/2403.13298.pdf
1,2024,2,LLFormer4D: LiDAR-based lane detection method,XFORM-DIM,LLFormer4D- LiDAR-based lane detection method,https://ietresearch.onlinelibrary.wiley.com/doi/pdfdirect/10.1049/cvi2.12338?download=true
1,2024,2,Lorentz-Equivariant Geometric Algebra Transformers for High-Energy Physics,XFORM-DIM,Lorentz-Equivariant Geometric Algebra Transformers for High-Energy Physics,https://arxiv.org/pdf/2405.14806.pdf
1,2024,2,Point cloud semantic segmentation with adaptive spatial structure graph transformer (ASGFormer),XFORM-DIM,Point cloud semantic segmentation with adaptive spatial structure graph transformer (ASGFormer),https://www.sysuzxc.site/paper/2024_Point%20cloud%20semantic%20segmentation%20with%20adaptive%20spatial%20structure%20graph%20transformer.pdf
1,2024,2,POS-BERT: Point cloud one-stage BERT pre-training,XFORM-DIM,POS-BERT- Point cloud one-stage BERT pre-training,https://www.sciencedirect.com/science/article/pii/S0957417423030658/pdf
1,2024,2,Voxel self-attention and center-point for 3D object detector,XFORM-DIM,Voxel self-attention and center-point for 3D object detector,https://www.cell.com/iscience/fulltext/S2589-0042%2824%2901984-9
1,2025,1,Alternative positional encoding functions for neural transformers,POS-ENCDR,Alternative positional encoding functions for neural transformers,https://arxiv.org/pdf/2512.19323.pdf
1,2025,1,Causality-Induced Positional Encoding for Transformer-Based Representation Learning of Non-Sequential Features,POS-ENCDR,Causality-Induced Positional Encoding for Transformer-Based Representation Learning of Non-Sequential Features,https://arxiv.org/pdf/2509.16629.pdf
