year,title,class,filename,url
2019,CLUTRR: A Diagnostic Benchmark for Inductive Reasoning from Text,DATA-BNCH,CLUTRR- A Diagnostic Benchmark for Inductive Reasoning from Text.pdf,https://aclanthology.org/D19-1458.pdf
2019,CommonsenseQA: A Question Answering Challenge Targeting Commonsense Knowledge,DATA-BNCH,CommonsenseQA- A Question Answering Challenge Targeting Commonsense Knowledge.pdf,https://aclanthology.org/N19-1421.pdf
2019,DROP: Discrete Reasoning Over Paragraphs,DATA-BNCH,DROP- Discrete Reasoning Over Paragraphs.pdf,https://aclanthology.org/N19-1246.pdf
2019,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,ML-FNDTNS,Megatron-LM- Training Multi-Billion Parameter Language Models Using Model Parallelism.pdf,https://arxiv.org/pdf/1909.08053.pdf
2019,OK-VQA: A Visual Question Answering Benchmark Requiring External Knowledge,DATA-BNCH,OK-VQA- A Visual Question Answering Benchmark Requiring External Knowledge.pdf,https://openaccess.thecvf.com/content_CVPR_2019/papers/Marino_OK-VQA_A_Visual_Question_Answering_Benchmark_Requiring_External_Knowledge_CVPR_2019_paper.pdf
2019,On the Measure of Intelligence (ARC),DATA-BNCH,On the Measure of Intelligence (ARC).pdf,https://arxiv.org/pdf/1911.01547.pdf
2019,Recurrent Experience Replay in Distributed Reinforcement Learning (R2D2),ML-FNDTNS,Recurrent Experience Replay in Distributed Reinforcement Learning (R2D2).pdf,https://openreview.net/pdf?id=r1lyTjAqYX
2020,2WikiMultiHopQA: Comprehensive Evaluation of Reasoning Steps,DATA-BNCH,2WikiMultiHopQA- Comprehensive Evaluation of Reasoning Steps.pdf,https://aclanthology.org/2020.coling-main.580.pdf
2020,AI Feynman,ML-FNDTNS,AI Feynman.pdf,https://www.science.org/doi/pdf/10.1126/sciadv.aay2631
2020,Agent57: Outperforming the Atari Human Benchmark,ML-FNDTNS,Agent57- Outperforming the Atari Human Benchmark.pdf,https://proceedings.mlr.press/v119/badia20a/badia20a.pdf
2020,DeeBERT: Dynamic Early Exiting for Accelerating BERT Inference,COMP-REAS,DeeBERT- Dynamic Early Exiting for Accelerating BERT Inference.pdf,https://arxiv.org/pdf/2004.12993.pdf
2020,Dense Passage Retrieval for Open-Domain Question Answering,ML-FNDTNS,Dense Passage Retrieval for Open-Domain Question Answering.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/28_Dense_Passage_Retrieval_for_Open_Domain_Question_Answering.pdf
2020,Depth-Adaptive Transformers,COMP-REAS,Depth-Adaptive Transformers.pdf,https://jiataogu.me/papers/elbayad2020depth.pdf
2020,DreamCoder,COMP-REAS,DreamCoder.pdf,https://courses.cs.washington.edu/courses/cse599j1/22sp/papers/dreamcoder.pdf
2020,Generative Pretraining from Pixels (iGPT),XFORM-DIM,Generative Pretraining from Pixels (iGPT).pdf,https://cdn.openai.com/papers/Generative_Pretraining_from_Pixels_V2.pdf
2020,Going in circles is the way forward: the role of recurrence in visual inference,X-CONTEXT,Going in circles is the way forward- the role of recurrence in visual inference.pdf,https://www.sci-hub.ru/10.1016/j.conb.2020.11.009
2020,How Can Self-Attention Networks Recognize Dyck-n Languages?,ML-FNDTNS,How Can Self-Attention Networks Recognize Dyck-n Languages-.pdf,https://aclanthology.org/2020.findings-emnlp.384.pdf
2020,How Much Position Information Do Convolutional Neural Networks Encode?,ML-FNDTNS,How Much Position Information Do Convolutional Neural Networks Encode-.pdf,https://openreview.net/pdf/2267055f8221e283014aba7ef46092ba93ff450f.pdf
2020,Just-in-Time Learning for Bottom-Up Enumerative Synthesis (PROBE),ML-FNDTNS,Just-in-Time Learning for Bottom-Up Enumerative Synthesis (PROBE).pdf,https://cseweb.ucsd.edu/~hpeleg/probe-oopsla20.pdf
2020,Language Models are Few-Shot Learners (GPT-3),ML-FNDTNS,Language Models are Few-Shot Learners (GPT-3).pdf,https://arxiv.org/pdf/2005.14165.pdf
2020,LogiQA: A Challenge Dataset for Machine Reading Comprehension with Logical Reasoning,DATA-BNCH,LogiQA- A Challenge Dataset for Machine Reading Comprehension with Logical Reasoning.pdf,https://www.ijcai.org/proceedings/2020/0501.pdf
2020,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model (MuZero)",COMP-REAS,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model (MuZero).pdf",https://www.nature.com/articles/s41586-020-03051-4.pdf
2020,REALM: Retrieval-Augmented Language Model Pre-Training,COMP-REAS,REALM- Retrieval-Augmented Language Model Pre-Training.pdf,https://arxiv.org/pdf/2002.08909.pdf
2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,COMP-REAS,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/29_Retrieval_Augmented_Generation_for_Knowledge_Intensive_NLP_Tasks.pdf
2020,SE(3)-Transformers: 3D Roto-Translation Equivariant Attention Networks,XFORM-DIM,SE(3)-Transformers- 3D Roto-Translation Equivariant Attention Networks.pdf,https://proceedings.neurips.cc/paper/2020/hash/15231a7ce4ba789d13b722cc5c955834-Paper.pdf
2020,Sharpness-Aware Minimization for Efficiently Improving Generalization (SAM),ML-FNDTNS,Sharpness-Aware Minimization for Efficiently Improving Generalization (SAM).pdf,https://arxiv.org/pdf/2010.01412.pdf
2020,Solver-in-the-Loop: Learning from Differentiable Physics to Interact with Iterative PDE Solvers,COMP-REAS,Solver-in-the-Loop- Learning from Differentiable Physics to Interact with Iterative PDE Solvers.pdf,https://proceedings.neurips.cc/paper_files/paper/2020/hash/43e4e6a6f341e00671e123714de019a8-Abstract.html
2020,Stand-Alone Axial-Attention for Panoptic Segmentation (Axial-DeepLab),XFORM-DIM,Stand-Alone Axial-Attention for Panoptic Segmentation (Axial-DeepLab).pdf,https://www.cs.jhu.edu/~alanlab/Pubs20/wang2020axial.pdf
2021,A Neurosymbolic Approach to Abstraction and Reasoning,COMP-REAS,A Neurosymbolic Approach to Abstraction and Reasoning.pdf,https://dspace.mit.edu/bitstream/handle/1721.1/139305/Alford-salford-meng-eecs-2021-thesis.pdf
2021,A Simple and Effective Positional Encoding for Transformers,POS-ENCDR,A Simple and Effective Positional Encoding for Transformers.pdf,https://aclanthology.org/2021.emnlp-main.236.pdf
2021,Contemporary Symbolic Regression Methods and their Relative Performance (SRBench),DATA-BNCH,Contemporary Symbolic Regression Methods and their Relative Performance (SRBench).pdf,https://arxiv.org/pdf/2107.14351.pdf
2021,EntailmentBank: Explaining Answers with Entailment Trees,DATA-BNCH,EntailmentBank- Explaining Answers with Entailment Trees.pdf,https://aclanthology.org/2021.emnlp-main.585.pdf
2021,Latent Execution for Neural Program Synthesis (LaSynth),COMP-REAS,Latent Execution for Neural Program Synthesis (LaSynth).pdf,https://proceedings.neurips.cc/paper/2021/file/ba3c95c2962d3aab2f6e667932daa3c5-Paper.pdf
2021,Muesli: Combining Improvements in Policy Optimization,ML-FNDTNS,Muesli- Combining Improvements in Policy Optimization.pdf,https://proceedings.mlr.press/v139/hessel21a/hessel21a.pdf
2021,PROGRES: A large-scale benchmark for few-shot program induction and synthesis,DATA-BNCH,PROGRES- A large-scale benchmark for few-shot program induction and synthesis.pdf,https://proceedings.mlr.press/v139/alet21a/alet21a.pdf
2021,Per-Pixel Classification is Not All You Need for Semantic Segmentation (MaskFormer),ML-FNDTNS,Per-Pixel Classification is Not All You Need for Semantic Segmentation (MaskFormer).pdf,https://papers.neurips.cc/paper_files/paper/2021/file/950a4152c2b4aa3ad78bdd6b366cc179-Paper.pdf
2021,Point 4D Transformer Networks for Spatio-Temporal Modeling in Point Cloud Videos (P4Transformer),XFORM-DIM,Point 4D Transformer Networks for Spatio-Temporal Modeling in Point Cloud Videos (P4Transformer).pdf,https://openaccess.thecvf.com/content/CVPR2021/papers/Fan_Point_4D_Transformer_Networks_for_Spatio-Temporal_Modeling_in_Point_Cloud_CVPR_2021_paper.pdf
2021,Point Transformer (PT),XFORM-DIM,Point Transformer (PT).pdf,https://openaccess.thecvf.com/content/ICCV2021/papers/Zhao_Point_Transformer_ICCV_2021_paper.pdf
2021,"ProofWriter: Generating Implications, Proofs, and Abductive Statements over Natural Language",COMP-REAS,"ProofWriter- Generating Implications, Proofs, and Abductive Statements over Natural Language.pdf",https://aclanthology.org/2021.findings-acl.317.pdf
2021,SVAMP: Simple Variations on Arithmetic Math Word Problems,DATA-BNCH,SVAMP- Simple Variations on Arithmetic Math Word Problems.pdf,https://aclanthology.org/2021.naacl-main.168.pdf
2021,Stabilizing Equilibrium Models by Jacobian Regularization,ML-FNDTNS,Stabilizing Equilibrium Models by Jacobian Regularization.pdf,https://arxiv.org/pdf/2106.14342.pdf
2021,StrategyQA: A Benchmark with Implicit Reasoning Strategies,DATA-BNCH,StrategyQA- A Benchmark with Implicit Reasoning Strategies.pdf,https://aclanthology.org/2021.tacl-1.21.pdf
2021,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,XFORM-DIM,Swin Transformer- Hierarchical Vision Transformer using Shifted Windows.pdf,https://openaccess.thecvf.com/content/ICCV2021/papers/Liu_Swin_Transformer_Hierarchical_Vision_Transformer_Using_Shifted_Windows_ICCV_2021_paper.pdf
2021,ViViT: A Video Vision Transformer,XFORM-DIM,ViViT- A Video Vision Transformer.pdf,https://openaccess.thecvf.com/content/ICCV2021/papers/Arnab_ViViT_A_Video_Vision_Transformer_ICCV_2021_paper.pdf
2022,Constitutional AI: Harmlessness from AI Feedback,ML-FNDTNS,Constitutional AI- Harmlessness from AI Feedback.pdf,https://www-cdn.anthropic.com/7512771452629584566b6303311496c262da1006/Anthropic_ConstitutionalAI_v2.pdf
2022,Jacobian-Free Backpropagation for Implicit Networks (JFB),ML-FNDTNS,Jacobian-Free Backpropagation for Implicit Networks (JFB).pdf,https://www.math.emory.edu/site/cmds-reuret/projects/2022-implicit/JFB.pdf
2022,LIFT: Learning 4D LiDAR Image Fusion Transformer for 3D Object Detection,XFORM-DIM,LIFT- Learning 4D LiDAR Image Fusion Transformer for 3D Object Detection.pdf,https://openaccess.thecvf.com/content/CVPR2022/papers/Zeng_LIFT_Learning_4D_LiDAR_Image_Fusion_Transformer_for_3D_Object_CVPR_2022_paper.pdf
2022,Memorizing Transformers,COMP-REAS,Memorizing Transformers.pdf,https://arxiv.org/pdf/2203.08913.pdf
2022,Point Primitive Transformer for Long-Term 4D Point Cloud Video Understanding (PPTr),XFORM-DIM,Point Primitive Transformer for Long-Term 4D Point Cloud Video Understanding (PPTr).pdf,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136890018.pdf
2022,Tackling the Abstraction and Reasoning Corpus with Vision Transformers: the ViTARC Architecture,POS-ENCDR,Tackling the Abstraction and Reasoning Corpus with Vision Transformers- the ViTARC Architecture.pdf,https://openreview.net/pdf?id=0gOQeSHNX1
2022,Training Iterative Refinement Algorithms with Implicit Differentiation,COMP-REAS,Training Iterative Refinement Algorithms with Implicit Differentiation.pdf,https://proceedings.neurips.cc/paper_files/paper/2022/file/d301e2878a7ebadf1a95029e904fc7d0-Paper-Conference.pdf
2022,TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,XFORM-DIM,TransFusion- Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers.pdf,https://openaccess.thecvf.com/content/CVPR2022/papers/Bai_TransFusion_Robust_LiDAR-Camera_Fusion_for_3D_Object_Detection_With_Transformers_CVPR_2022_paper.pdf
2023,ALCUNA: Large Language Models Meet New Knowledge,DATA-BNCH,ALCUNA- Large Language Models Meet New Knowledge.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/32_ALCUNA_Large_Language_Models_Meet_New_Knowledge.pdf
2023,DiffusionDet: Diffusion Model for Object Detection,ML-FNDTNS,DiffusionDet- Diffusion Model for Object Detection.pdf,https://openaccess.thecvf.com/content/ICCV2023/papers/Chen_DiffusionDet_Diffusion_Model_for_Object_Detection_ICCV_2023_paper.pdf
2023,FlashAttention-2: Faster Attention with Better Parallelism and Work Partitioning,ML-FNDTNS,FlashAttention-2- Faster Attention with Better Parallelism and Work Partitioning.pdf,https://tridao.me/publications/flash2/flash2.pdf
2023,LeaF: Learning Frames for 4D Point Cloud Sequence Understanding,COMP-REAS,LeaF- Learning Frames for 4D Point Cloud Sequence Understanding.pdf,https://openaccess.thecvf.com/content/ICCV2023/papers/Liu_LeaF_Learning_Frames_for_4D_Point_Cloud_Sequence_Understanding_ICCV_2023_paper.pdf
2023,Let's Verify Step by Step (PRM),ML-FNDTNS,Let's Verify Step by Step (PRM).pdf,https://arxiv.org/pdf/2305.20050.pdf
2023,LogiQA 2.0 - An Improved Dataset for Logical Reasoning in NLU,DATA-BNCH,LogiQA 2.0 - An Improved Dataset for Logical Reasoning in NLU.pdf,https://frcchang.github.io/pub/An%20Improved%20Dataset%20for%20Logical%20Reasoning%20in%20Natural%20Language%20Understanding.pdf
2023,Lost in the Middle: How Language Models Use Long Contexts,ML-FNDTNS,Lost in the Middle- How Language Models Use Long Contexts.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/31_Lost_in_the_Middle_How_Language_Models_Use_Long_Contexts.pdf
2023,Mask4D: End-to-End Mask-Based 4D Panoptic Segmentation for LiDAR Sequences,XFORM-DIM,Mask4D- End-to-End Mask-Based 4D Panoptic Segmentation for LiDAR Sequences.pdf,https://www.ipb.uni-bonn.de/wp-content/papercite-data/pdf/marcuzzi2023ral-meem.pdf
2023,Objaverse-XL: A Universe of 10M+ 3D Objects,DATA-BNCH,Objaverse-XL- A Universe of 10M+ 3D Objects.pdf,https://arxiv.org/pdf/2307.05663.pdf
2023,"One-Step Diffusion Distillation via Deep Equilibrium Models (Generative Equilibrium Transformer, GET)",ML-FNDTNS,"One-Step Diffusion Distillation via Deep Equilibrium Models (Generative Equilibrium Transformer, GET).pdf",https://papers.neurips.cc/paper_files/paper/2023/file/82f05a105c928c10706213952bf0c8b7-Paper-Conference.pdf
2023,Precise Zero-Shot Dense Retrieval without Relevance Labels,COMP-REAS,Precise Zero-Shot Dense Retrieval without Relevance Labels.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/30_Precise_Zero_Shot_Dense_Retrieval_without_Relevance_Labels.pdf
2023,QLoRA: Efficient Finetuning of Quantized LLMs,ML-FNDTNS,QLoRA- Efficient Finetuning of Quantized LLMs.pdf,https://arxiv.org/pdf/2305.14314.pdf
2023,The Perils & Promises of Fact-checking with Large Language Models,DATA-BNCH,The Perils & Promises of Fact-checking with Large Language Models.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/33_The_Perils_&_Promises_of_Fact_checking_with_Large_Language_Models.pdf
2023,Transformer-based Point Cloud Generation Network,XFORM-DIM,Transformer-based Point Cloud Generation Network.pdf,https://dl.acm.org/doi/pdf/10.1145/3581783.3612226
2023,Zephyr: Direct Distillation of LM Alignment,ML-FNDTNS,Zephyr- Direct Distillation of LM Alignment.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/34_Zephyr_Direct_Distillation_of_LM_Alignment.pdf
2024,A 2D nGPT Model For Arc Prize,XFORM-DIM,A 2D nGPT Model For Arc Prize.pdf,https://raw.githubusercontent.com/jfpuget/ARC-AGI-Challenge-2024/main/arc.pdf
2024,A Survey on Evaluation of Large Language Models,DATA-BNCH,A Survey on Evaluation of Large Language Models.pdf,https://dl.acm.org/doi/pdf/10.1145/3641289
2024,ARC Prize 2024: Technical Report,DATA-BNCH,ARC Prize 2024- Technical Report.pdf,https://arxiv.org/pdf/2412.04604.pdf
2024,Advancing Process Verification for LLM Reasoning,COMP-REAS,Advancing Process Verification for LLM Reasoning.pdf,https://aclanthology.org/2024.emnlp-main.125.pdf
2024,Better & Faster Large Language Models via Multi-token Prediction,ML-FNDTNS,Better & Faster Large Language Models via Multi-token Prediction.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/27_Better_&_Faster_Large_Language_Models_via_Multi_token_Prediction.pdf
2024,DAPE: Data-Adaptive Positional Encoding for Length Extrapolation,POS-ENCDR,DAPE- Data-Adaptive Positional Encoding for Length Extrapolation.pdf,https://proceedings.neurips.cc/paper_files/paper/2024/file/2f050fa9f0d898e3f265d515f50ae8f9-Paper-Conference.pdf
2024,DiffSAT: Differential MaxSAT Layer for SAT Solving,COMP-REAS,DiffSAT- Differential MaxSAT Layer for SAT Solving.pdf,https://www.cse.cuhk.edu.hk/~byu/papers/C237-ICCAD2024-DiffSAT.pdf
2024,DriveWorld: 4D Pre-trained Scene Understanding via World Models for Autonomous Driving,COMP-REAS,DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.pdf,https://openaccess.thecvf.com/content/CVPR2024/papers/Min_DriveWorld_4D_Pre-trained_Scene_Understanding_via_World_Models_for_Autonomous_CVPR_2024_paper.pdf
2024,Enhanced Enumeration Techniques for Syntax-Guided Synthesis,COMP-REAS,Enhanced Enumeration Techniques for Syntax-Guided Synthesis.pdf,https://dl.acm.org/doi/10.1145/3632913
2024,Enhanced Scene Understanding on 4D Point Cloud,COMP-REAS,Enhanced Scene Understanding on 4D Point Cloud.pdf,https://ojs.aaai.org/index.php/AAAI/article/view/28045/28100
2024,Exploring Context Window of LLMs,POS-ENCDR,Exploring Context Window of LLMs.pdf,https://proceedings.neurips.cc/paper_files/paper/2024/file/1403ab1a427050538ec59c7f570aec8b-Paper-Conference.pdf
2024,Fixed Point Diffusion Models (FPDM),COMP-REAS,Fixed Point Diffusion Models (FPDM).pdf,https://arxiv.org/pdf/2401.08741.pdf
2024,HiRoPE: Length Extrapolation for Code Models Using Hierarchical Rotary Position Embedding,POS-ENCDR,HiRoPE- Length Extrapolation for Code Models Using Hierarchical Rotary Position Embedding.pdf,https://aclanthology.org/2024.acl-long.735.pdf
2024,Implicit Factorized Transformer (IFactFormer),COMP-REAS,Implicit Factorized Transformer (IFactFormer).pdf,https://www.sciencedirect.com/science/article/pii/S2095034924000382/pdf
2024,LLFormer4D: LiDAR-based lane detection method,XFORM-DIM,LLFormer4D- LiDAR-based lane detection method.pdf,https://ietresearch.onlinelibrary.wiley.com/doi/pdfdirect/10.1049/cvi2.12338?download=true
2024,LTD-Bench: Evaluating Large Language Models by Letting Them Draw,DATA-BNCH,LTD-Bench- Evaluating Large Language Models by Letting Them Draw.pdf,https://openreview.net/pdf?id=TG5rvKyEbu
2024,Length Extrapolation of Transformers: A Survey from the Perspective of Positional Encoding,ML-FNDTNS,Length Extrapolation of Transformers- A Survey from the Perspective of Positional Encoding.pdf,https://aclanthology.org/2024.findings-emnlp.582.pdf
2024,"MHaluBench (from ""Unified Hallucination Detection..."")",DATA-BNCH,MHaluBench (from -Unified Hallucination Detection...-).pdf,https://aclanthology.org/2024.acl-long.178.pdf
2024,MT-Bench-101,DATA-BNCH,MT-Bench-101.pdf,https://aclanthology.org/2024.acl-long.401.pdf
2024,MVBench: A Comprehensive Multi-modal Video Understanding Benchmark,DATA-BNCH,MVBench- A Comprehensive Multi-modal Video Understanding Benchmark.pdf,https://openaccess.thecvf.com/content/CVPR2024/papers/Li_MVBench_A_Comprehensive_Multi-modal_Video_Understanding_Benchmark_CVPR_2024_paper.pdf
2024,Machine Learning for Modular Multiplication,ML-FNDTNS,Machine Learning for Modular Multiplication.pdf,https://arxiv.org/pdf/2402.19254.pdf
2024,Mini-ARC: Solving Abstraction and Reasoning Puzzles with Small Transformer Models,ML-FNDTNS,Mini-ARC- Solving Abstraction and Reasoning Puzzles with Small Transformer Models.pdf,https://www.paulfletcherhill.com/mini-arc.pdf
2024,OccWorld: Learning a 3D Occupancy World Model for Autonomous Driving,XFORM-DIM,OccWorld- Learning a 3D Occupancy World Model for Autonomous Driving.pdf,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02024.pdf
2024,OneFormer3D: One Transformer for Unified Point Cloud Segmentation (OneFormer3D),XFORM-DIM,OneFormer3D- One Transformer for Unified Point Cloud Segmentation (OneFormer3D).pdf,https://openaccess.thecvf.com/content/CVPR2024/papers/Kolodiazhnyi_OneFormer3D_One_Transformer_for_Unified_Point_Cloud_Segmentation_CVPR_2024_paper.pdf
2024,Open3DIS: Open-Vocabulary 3D Instance Segmentation with 2D Mask Guidance,ML-FNDTNS,Open3DIS- Open-Vocabulary 3D Instance Segmentation with 2D Mask Guidance.pdf,https://openaccess.thecvf.com/content/CVPR2024/papers/Nguyen_Open3DIS_Open-Vocabulary_3D_Instance_Segmentation_with_2D_Mask_Guidance_CVPR_2024_paper.pdf
2024,POS-BERT: Point cloud one-stage BERT pre-training,XFORM-DIM,POS-BERT- Point cloud one-stage BERT pre-training.pdf,https://www.sciencedirect.com/science/article/pii/S0957417423030658/pdf
2024,"Point Transformer V3: Simpler, Faster, Stronger",XFORM-DIM,"Point Transformer V3- Simpler, Faster, Stronger.pdf",https://openaccess.thecvf.com/content/CVPR2024/papers/Wu_Point_Transformer_V3_Simpler_Faster_Stronger_CVPR_2024_paper.pdf
2024,Point cloud semantic segmentation with adaptive spatial structure graph transformer (ASGFormer),XFORM-DIM,Point cloud semantic segmentation with adaptive spatial structure graph transformer (ASGFormer).pdf,https://www.sysuzxc.site/paper/2024_Point%20cloud%20semantic%20segmentation%20with%20adaptive%20spatial%20structure%20graph%20transformer.pdf
2024,Repeated Examples Help Learn Arithmetic,ML-FNDTNS,Repeated Examples Help Learn Arithmetic.pdf,https://openreview.net/pdf?id=qoUHqnE6A0
2024,RoPE scaling analysis + new scaling,POS-ENCDR,RoPE scaling analysis + new scaling.pdf,https://aclanthology.org/2024.emnlp-main.414.pdf
2024,SEED-Bench: Benchmarking Multimodal LLMs with Generative Comprehension,DATA-BNCH,SEED-Bench- Benchmarking Multimodal LLMs with Generative Comprehension.pdf,https://openaccess.thecvf.com/content/CVPR2024/papers/Li_SEED-Bench_Benchmarking_Multimodal_Large_Language_Models_CVPR_2024_paper.pdf
2024,SRBench++: principled benchmarking of symbolic regression,MIS-CLASS,SRBench++- principled benchmarking of symbolic regression.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12321164/pdf/nihms-2053059.pdf
2024,SWE-bench,DATA-BNCH,SWE-bench.pdf,https://proceedings.iclr.cc/paper_files/paper/2024/file/edac78c3e300629acfe6cbe9ca88fb84-Paper-Conference.pdf
2024,ScatterFormer: Efficient Voxel Transformer with Scattered Linear Attention,XFORM-DIM,ScatterFormer- Efficient Voxel Transformer with Scattered Linear Attention.pdf,https://arxiv.org/pdf/2401.00912.pdf
2024,SegPoint: Segment Any Point Cloud via Large Language Model,ML-FNDTNS,SegPoint- Segment Any Point Cloud via Large Language Model.pdf,https://arxiv.org/pdf/2407.13761.pdf
2024,Simultaneous Instance Pooling & Bag Selection for MIL using ViTs,ML-FNDTNS,Simultaneous Instance Pooling & Bag Selection for MIL using ViTs.pdf,https://link.springer.com/content/pdf/10.1007/s00521-024-09417-3.pdf
2024,Solving olympiad geometry without human demonstrations (AlphaGeometry),COMP-REAS,Solving olympiad geometry without human demonstrations (AlphaGeometry).pdf,https://www.nature.com/articles/s41586-023-06747-5.pdf
2024,Spherical Mask: Coarse-to-Fine 3D Point Cloud Instance Segmentation with Spherical Representation,ML-FNDTNS,Spherical Mask- Coarse-to-Fine 3D Point Cloud Instance Segmentation with Spherical Representation.pdf,https://openaccess.thecvf.com/content/CVPR2024/papers/Shin_Spherical_Mask_Coarse-to-Fine_3D_Point_Cloud_Instance_Segmentation_with_Spherical_CVPR_2024_paper.pdf
2024,The LLM ARChitect: Solving ARC-AGI Is a Matter of Perspective,ML-FNDTNS,The LLM ARChitect- Solving ARC-AGI Is a Matter of Perspective.pdf,https://raw.githubusercontent.com/da-fr/arc-prize-2024/main/the_architects.pdf
2024,The Surprising Effectiveness of Test-Time Training for Few-Shot Learning,COMP-REAS,The Surprising Effectiveness of Test-Time Training for Few-Shot Learning.pdf,https://arxiv.org/pdf/2411.07279.pdf
2024,Transformer based 3D tooth segmentation via point cloud region partition (PointRegion),XFORM-DIM,Transformer based 3D tooth segmentation via point cloud region partition (PointRegion).pdf,https://www.nature.com/articles/s41598-024-79485-x.pdf
2024,Transformers Can Do Arithmetic with the Right Embeddings,POS-ENCDR,Transformers Can Do Arithmetic with the Right Embeddings.pdf,https://proceedings.neurips.cc/paper_files/paper/2024/file/c35986bc1ee29b31c1011481b77fe540-Paper-Conference.pdf
2024,Voxel self-attention and center-point for 3D object detector,XFORM-DIM,Voxel self-attention and center-point for 3D object detector.pdf,https://www.cell.com/iscience/fulltext/S2589-0042%2824%2901984-9
2025,ARC-AGI Without Pretraining (CompressARC),COMP-REAS,ARC-AGI Without Pretraining (CompressARC).pdf,https://iliao2345.github.io/blog_posts/arc_agi_without_pretraining/ARC_AGI_Without_Pretraining.pdf
2025,ARC-NCA: Towards Developmental Solutions to the Abstraction and Reasoning Corpus,COMP-REAS,ARC-NCA- Towards Developmental Solutions to the Abstraction and Reasoning Corpus.pdf,https://arxiv.org/pdf/2505.08778.pdf
2025,Adaptive Patch Selection for ViTs via Reinforcement Learning,COMP-REAS,Adaptive Patch Selection for ViTs via Reinforcement Learning.pdf,https://link.springer.com/content/pdf/10.1007/s10489-025-06516-z.pdf
2025,Adaptive Thinking Using Dynamic Computation,COMP-REAS,Adaptive Thinking Using Dynamic Computation.pdf,https://proceedings.iclr.cc/paper_files/paper/2025/file/955499a8e2860ed746717c1374224c43-Paper-Conference.pdf
2025,ArcMemo: Abstract Reasoning Composition with Lifelong LLM Memory,COMP-REAS,ArcMemo- Abstract Reasoning Composition with Lifelong LLM Memory.pdf,https://arxiv.org/pdf/2509.04439.pdf
2025,Arithmetic-Bench: Evaluating Multi-Step Reasoning in LLMs through Basic Arithmetic Operations,DATA-BNCH,Arithmetic-Bench- Evaluating Multi-Step Reasoning in LLMs through Basic Arithmetic Operations.pdf,https://openreview.net/pdf?id=ae6bKeffGZ
2025,"Autoregressive Modeling as Iterative Latent Equilibrium (Equilibrium Transformers, EqT)",COMP-REAS,"Autoregressive Modeling as Iterative Latent Equilibrium (Equilibrium Transformers, EqT).pdf",https://arxiv.org/pdf/2511.21882.pdf
2025,BIG-Bench Extra Hard (BBEH),DATA-BNCH,BIG-Bench Extra Hard (BBEH).pdf,https://aclanthology.org/2025.acl-long.1285.pdf
2025,BWFormer: Building Wireframe Reconstruction from Airborne LiDAR Point Cloud with Transformer (BWFormer),XFORM-DIM,BWFormer- Building Wireframe Reconstruction from Airborne LiDAR Point Cloud with Transformer (BWFormer).pdf,https://openaccess.thecvf.com/content/CVPR2025/papers/Liu_BWFormer_Building_Wireframe_Reconstruction_from_Airborne_LiDAR_Point_Cloud_with_CVPR_2025_paper.pdf
2025,Beyond Brute Force: A Neuro-Symbolic Architecture for Compositional Reasoning in ARC-AGI-2,COMP-REAS,Beyond Brute Force- A Neuro-Symbolic Architecture for Compositional Reasoning in ARC-AGI-2.pdf,https://raw.githubusercontent.com/CoreThink-AI/Research-publications/main/Preprints/Beyond_Brute_Force__A_Neuro_Symbolic_Architecture_for_Compositional_Reasoning_in_ARC_AGI_2.pdf
2025,ChartQAPro: A More Diverse and Challenging Benchmark for Real-World Chart QA,DATA-BNCH,ChartQAPro- A More Diverse and Challenging Benchmark for Real-World Chart QA.pdf,https://arxiv.org/pdf/2504.05506.pdf
2025,Context-aware Biases for Length Extrapolation (CABLE),POS-ENCDR,Context-aware Biases for Length Extrapolation (CABLE).pdf,https://aclanthology.org/2025.emnlp-main.1545.pdf
2025,DT-NVS: Diffusion Transformers for Novel View Synthesis,XFORM-DIM,DT-NVS- Diffusion Transformers for Novel View Synthesis.pdf,https://arxiv.org/pdf/2511.08823.pdf
2025,Don't throw the baby out with the bathwater: How and why deep learning for ARC,COMP-REAS,Don't throw the baby out with the bathwater- How and why deep learning for ARC.pdf,https://arxiv.org/pdf/2506.14276.pdf
