year,title,url,duplicate_count
2021,Pyramid Vision Transformer (PVT),https://arxiv.org/pdf/2102.12122.pdf,2
2021,Pyramid Vision Transformer: A Versatile Backbone for Dense Prediction without Convolutions,https://arxiv.org/pdf/2102.12122.pdf,2
2021,MATH: Measuring Mathematical Problem Solving,https://arxiv.org/pdf/2103.03874.pdf,1
2021,Measuring Mathematical Problem Solving With the MATH Dataset,https://arxiv.org/pdf/2103.03874.pdf,1
2021,Efficient Large-Scale Language Model Training on GPU Clusters,https://arxiv.org/pdf/2104.04473.pdf,1
2021,Efficient Large-Scale Language Model Training on GPU Clusters Using Megatron-LM,https://arxiv.org/pdf/2104.04473.pdf,1
2021,RoFormer: Enhanced Transformer with Rotary Position Embedding,https://arxiv.org/pdf/2104.09864.pdf,3
2021,RoFormer: Enhanced Transformer with Rotary Position Embedding (RoPE),https://arxiv.org/pdf/2104.09864.pdf,2
2021,SegFormer,https://arxiv.org/pdf/2105.15203.pdf,2
2021,SegFormer: Simple and Efficient Design for Semantic Segmentation with Transformers,https://arxiv.org/pdf/2105.15203.pdf,2
2020,Stand-Alone Axial-Attention (Axial-DeepLab),https://arxiv.org/pdf/2105.15203.pdf,1
2021,BEiT: BERT Pre-Training of Image Transformers,https://arxiv.org/pdf/2106.08254.pdf,2
2022,BEiT: BERT Pre-Training of Image Transformers,https://arxiv.org/pdf/2106.08254.pdf,1
2021,GSM8K: Training Verifiers to Solve Math Word Problems,https://arxiv.org/pdf/2110.14168.pdf,1
2021,Training Verifiers to Solve Math Word Problems (GSM8K),https://arxiv.org/pdf/2110.14168.pdf,1
2021,Masked Autoencoders Are Scalable Vision Learners (MAE),https://arxiv.org/pdf/2111.06377.pdf,1
2022,Masked Autoencoders Are Scalable Vision Learners (MAE),https://arxiv.org/pdf/2111.06377.pdf,1
2021,Point-BERT: Pre-training 3D Point Cloud Transformers with Masked Point Modeling,https://arxiv.org/pdf/2111.14819.pdf,1
2022,Point-BERT: Pre-training 3D Point Cloud Transformers with Masked Point Modeling,https://arxiv.org/pdf/2111.14819.pdf,1
2019,Generating Long Sequences with Sparse Transformers,https://arxiv.org/pdf/2203.16527.pdf,1
2022,ViTDet: Exploring Plain ViT Backbones for Object Detection,https://arxiv.org/pdf/2203.16527.pdf,1
2022,Learn to Explain: Multimodal Reasoning via Thought Chains for Science Question Answering (ScienceQA),https://arxiv.org/pdf/2209.09513.pdf,1
2022,"ScienceQA (""Learn to Explain..."")",https://arxiv.org/pdf/2209.09513.pdf,1
2022,ScienceQA: Benchmark for Multimodal Reasoning,https://arxiv.org/pdf/2209.09513.pdf,1
2023,Tree of Thoughts (ToT),https://arxiv.org/pdf/2305.10601.pdf,2
2023,Tree of Thoughts (ToT): Deliberate Problem Solving with Large Language Models,https://arxiv.org/pdf/2305.10601.pdf,1
2023,MMBench: Evaluating Multimodal LLMs,https://arxiv.org/pdf/2307.06281.pdf,1
2023,MMBench: Is Your Multi-modal Model an All-around Player?,https://arxiv.org/pdf/2307.06281.pdf,2
2023,MMMU: A Massive Multi-discipline Multimodal Understanding and Reasoning Benchmark for Expert AGI,https://arxiv.org/pdf/2311.16502.pdf,2
2023,MMMU: A Massive Multidiscipline Multimodal Benchmark,https://arxiv.org/pdf/2311.16502.pdf,1
2024,Rotary Position Embedding for Vision Transformer,https://arxiv.org/pdf/2403.13298.pdf,1
2024,Rotary Position Embedding for Vision Transformer (RoPE-Mixed / 2D RoPE study),https://arxiv.org/pdf/2403.13298.pdf,1
2024,ARC Prize 2024: Technical Report,https://arxiv.org/pdf/2412.04604.pdf,1
2019,The Abstraction and Reasoning Corpus (ARC),https://arxiv.org/pdf/2412.04604.pdf,1
