match_id,score,source,year,title,url
31,1.0000,arXiv,2020,Rethinking Positional Encoding in Language Pre-training (TUPE),https://arxiv.org/pdf/2006.15595.pdf
31,1.0000,DL,2020,Rethinking Positional Encoding in Language Pre-training (TUPE),https://openreview.net/pdf?id=09-528y2Fgf
,,,,,
32,1.0000,arXiv,2020,Scaling Laws for Neural Language Models,https://arxiv.org/pdf/2001.08361.pdf
32,1.0000,DL,2020,Scaling Laws for Neural Language Models,/home/jake/Developer/timeline/BIBLIOTHEQUE/26_Scaling_Laws_for_Neural_Language_Models.pdf
,,,,,
33,1.0000,arXiv,2024,Searching Latent Program Spaces,https://arxiv.org/pdf/2411.08706.pdf
33,1.0000,DL,2024,Searching Latent Program Spaces,https://raw.githubusercontent.com/clement-bonnet/lpn/7f86b1d11ea37ba173700dbac8604393eac6da37/paper.pdf
,,,,,
34,1.0000,arXiv,2018,Set Transformer: A Framework for Attention-based Permutation-Invariant Neural Networks,https://arxiv.org/pdf/1810.00825.pdf
34,1.0000,DL,2018,Set Transformer: A Framework for Attention-based Permutation-Invariant Neural Networks,https://arxiv.org/pdf/1810.00825.pdf
,,,,,
35,1.0000,arXiv,2025,SparseVoxFormer: Sparse Voxel-based Transformer for Multi-modal 3D Object Detection,https://arxiv.org/pdf/2503.08092.pdf
35,1.0000,DL,2025,SparseVoxFormer: Sparse Voxel-based Transformer for Multi-modal 3D Object Detection,https://arxiv.org/pdf/2503.08092.pdf
,,,,,
36,1.0000,arXiv,2021,Stabilizing Equilibrium Models by Jacobian Regularization,https://arxiv.org/pdf/2106.14342.pdf
36,1.0000,DL,2021,Stabilizing Equilibrium Models by Jacobian Regularization,https://arxiv.org/pdf/2106.14342.pdf
,,,,,
37,1.0000,arXiv,2025,Streaming 4D Panoptic Segmentation via Dual Threads,https://arxiv.org/pdf/2510.17664.pdf
37,1.0000,DL,2025,Streaming 4D Panoptic Segmentation via Dual Threads,https://arxiv.org/pdf/2510.17664.pdf
,,,,,
38,1.0000,arXiv,2025,The Art of Scaling Test-Time Compute for LLMs,https://arxiv.org/pdf/2512.02008.pdf
38,1.0000,DL,2025,The Art of Scaling Test-Time Compute for LLMs,https://arxiv.org/pdf/2512.02008.pdf
,,,,,
39,1.0000,arXiv,2024,The Surprising Effectiveness of Test-Time Training for Few-Shot Learning,https://arxiv.org/pdf/2411.07279.pdf
39,1.0000,DL,2024,The Surprising Effectiveness of Test-Time Training for Few-Shot Learning,https://arxiv.org/pdf/2411.07279.pdf
,,,,,
40,1.0000,arXiv,2024,Towards Efficient Neurally-Guided Program Induction for ARC-AGI,https://arxiv.org/pdf/2411.17708.pdf
40,1.0000,DL,2024,Towards Efficient Neurally-Guided Program Induction for ARC-AGI,https://drive.google.com/uc?export=download&id=1sFlK3mhz8kH2agdE379o0ODQWYkrSD0b
,,,,,
41,1.0000,arXiv,2025,Towards the Next Generation of Symbolic Regression Benchmarks (SRBench),https://arxiv.org/pdf/2505.03977.pdf
41,1.0000,DL,2025,Towards the Next Generation of Symbolic Regression Benchmarks (SRBench),https://arxiv.org/pdf/2505.03977.pdf
,,,,,
42,1.0000,arXiv,2019,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,https://arxiv.org/pdf/1901.02860.pdf
42,1.0000,DL,2019,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,https://aclanthology.org/P19-1285.pdf
,,,,,
43,1.0000,arXiv,2025,TReB: A Comprehensive Benchmark for Evaluating Table Reasoning Evolution,https://arxiv.org/pdf/2506.18421.pdf
43,1.0000,DL,2025,TReB: A Comprehensive Benchmark for Evaluating Table Reasoning Evolution,https://arxiv.org/pdf/2506.18421.pdf
,,,,,
44,1.0000,arXiv,2018,Universal Transformers (UT),https://arxiv.org/pdf/1807.03819.pdf
44,1.0000,DL,2018,Universal Transformers (UT),https://arxiv.org/pdf/1807.03819.pdf
,,,,,
45,1.0000,arXiv,2025,Vector Symbolic Algebras for the Abstraction and Reasoning Corpus,https://arxiv.org/pdf/2511.08747.pdf
45,1.0000,DL,2025,Vector Symbolic Algebras for the Abstraction and Reasoning Corpus,https://raw.githubusercontent.com/ijoffe/ARC-VSA-2025/main/paper/paper.pdf
,,,,,
46,0.9730,arXiv,2017,SyGuS-Comp 2017: Results and Analysis,https://arxiv.org/pdf/1711.11438.pdf
46,0.9730,DL,2016,SyGuS-Comp 2016: Results and Analysis,https://dspace.mit.edu/bitstream/handle/1721.1/137904/1611.07627.pdf?isAllowed=y&sequence=2.pdf
,,,,,
47,0.9455,arXiv,2025,Less is More: Recursive Reasoning with Tiny Networks,https://arxiv.org/pdf/2510.04871.pdf
47,0.9455,DL,2025,Less is More: Recursive Reasoning with Tiny Networks (TRM),https://arxiv.org/pdf/2510.04871.pdf
,,,,,
48,0.9346,arXiv,2021,PSB2: The Second Program Synthesis Benchmark Suite,https://arxiv.org/pdf/2106.06086.pdf
48,0.9346,DL,2021,PSB2: The Second Program Synthesis Benchmark Suite (PSB2),https://arxiv.org/pdf/2106.06086.pdf
,,,,,
49,0.9318,arXiv,2019,Differentiable Convex Optimization Layers (DPP),https://arxiv.org/pdf/1910.12430.pdf
49,0.9318,DL,2019,Differentiable Convex Optimization Layers,https://openreview.net/pdf?id=1EuxRTe0WN
,,,,,
50,0.9167,arXiv,2017,End-to-End Differentiable Proving,https://arxiv.org/pdf/1705.11040.pdf
50,0.9167,DL,2017,End-to-End Differentiable Proving (NTP),https://arxiv.org/pdf/1705.11040.pdf
,,,,,
51,0.9160,arXiv,2013,Efficient Estimation of Word Representations in Vector Space,https://arxiv.org/pdf/1301.3781.pdf
51,0.9160,DL,2013,Efficient Estimation of Word Representations in Vector Space (word2vec),https://arxiv.org/pdf/1301.3781.pdf
,,,,,
52,0.9032,arXiv,2020,PCT: Point Cloud Transformer,https://arxiv.org/pdf/2012.09688.pdf
52,0.9032,DL,2021,PCT: Point cloud transformer (PCT),https://www.sciopen.com/article_pdf/10.1007/s41095-021-0229-5.pdf
,,,,,
53,0.8904,arXiv,2024,Length Generalization of Causal Transformers without Position Encoding,https://arxiv.org/pdf/2404.12224.pdf
53,0.8904,DL,2024,Length Extrapolation of Causal Transformers without Position Encoding (NoPE),https://aclanthology.org/2024.findings-acl.834.pdf
,,,,,
54,0.8807,arXiv,2024,Rotary Position Embedding for Vision Transformer (RoPE‑Mixed),https://arxiv.org/pdf/2403.13298.pdf
54,0.8807,DL,2024,Rotary Position Embedding for Vision Transformer,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/01584.pdf
,,,,,
55,0.8800,arXiv,2014,Neural Turing Machines (NTM),https://arxiv.org/pdf/1410.5401.pdf
55,0.8800,DL,2014,Neural Turing Machines,/home/jake/Developer/timeline/BIBLIOTHEQUE/21_Neural_Turing_Machines.pdf
,,,,,
56,0.8421,arXiv,2023,Segment Anything,https://arxiv.org/pdf/2304.02643.pdf
56,0.8421,DL,2023,Segment Anything (SAM),https://openaccess.thecvf.com/content/ICCV2023/papers/Kirillov_Segment_Anything_ICCV_2023_paper.pdf
,,,,,
57,0.8216,arXiv,2023,MMMU: A Massive Multi-discipline Multimodal Understanding and Reasoning Benchmark for Expert AGI,https://arxiv.org/pdf/2311.16502.pdf
57,0.8216,DL,2025,MMMU-Pro: A More Robust Multi-discipline Multimodal Understanding and Reasoning Benchmark,https://aclanthology.org/2025.acl-long.736.pdf
,,,,,
58,0.8190,arXiv,2021,CoAtNet: Marrying Convolution and Attention for All Data Sizes,https://arxiv.org/pdf/2106.04803.pdf
58,0.8190,DL,2021,CoAtNet: Marrying Convolution and Attention,https://proceedings.neurips.cc/paper/2021/hash/20568692db622456cc42a2e853ca21f8-Paper.pdf
,,,,,
59,0.8130,arXiv,2022,Self-Consistency Improves Chain-of-Thought Reasoning,https://arxiv.org/pdf/2203.11171.pdf
59,0.8130,DL,2022,Self-Consistency Improves Chain of Thought Reasoning in Language Models,https://arxiv.org/pdf/2203.11171.pdf
,,,,,
60,0.8060,arXiv,2017,SyGuS-Comp 2017: Results and Analysis,https://arxiv.org/pdf/1711.11438.pdf
60,0.8060,DL,2015,SyGuS-Comp'15 Results/Analysis,https://rishabhmit.bitbucket.io/papers/synt15.pdf
