task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
predicate learning (uncle-of relation),symbolic family facts (`father/2`; `mother/2`; `brother/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,uncle-of relation (target),Not specified in the paper.,Not specified in the paper.
predicate learning (relatedness relation),symbolic family facts (`parent/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,related relation (target),Not specified in the paper.,Not specified in the paper.
predicate learning (father-of relation),symbolic family facts (`husband/2`; `mother/2`; `brother/2`; `aunt/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,father-of relation (target),Not specified in the paper.,Not specified in the paper.
predicate learning (undirected-edge relation),symbolic graph facts (`edge/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,undirected-edge relation (target),Not specified in the paper.,Not specified in the paper.
predicate learning (adjacent-to-red predicate),symbolic graph facts (`edge/2`; `colour/2`; `red/1`; `green/1`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,adjacent-to-red predicate (target),Not specified in the paper.,Not specified in the paper.
predicate learning (has-two-children predicate),symbolic graph facts (`edge/2`; `neq/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,has-at-least-two-children predicate (target),Not specified in the paper.,Not specified in the paper.
predicate learning (is-bad-node predicate),symbolic graph facts (`edge/2`; `colour/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,is-bad-node predicate (target),Not specified in the paper.,Not specified in the paper.
predicate learning (connectedness relation),symbolic graph facts (`edge/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,"connected(X,Y) relation (target)",Not specified in the paper.,Not specified in the paper.
predicate learning (is-cyclic predicate),symbolic graph facts (`edge/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,is-cyclic predicate (target),Not specified in the paper.,Not specified in the paper.
predicate learning (even from images),28 × 28 MNIST images (sequence),"2D (x, y) (inferred)",Fixed (inferred),Not specified in the paper.,Not specified in the paper.,binary label: even (1) vs odd (0),0D (inferred),Fixed (inferred)
predicate learning (left image two-less-than right),pair of images (left and right),"2D (x, y) (inferred)",Fixed (inferred),Not specified in the paper.,Not specified in the paper.,binary label: left image is two less than right,0D (inferred),Fixed (inferred)
predicate learning (right image equals 1),pair of images (left and right),"2D (x, y) (inferred)",Fixed (inferred),Not specified in the paper.,Not specified in the paper.,binary label: right image equals 1,0D (inferred),Fixed (inferred)
predicate learning (less-than from images),pair of images (left and right),"2D (x, y) (inferred)",Fixed (inferred),Not specified in the paper.,Not specified in the paper.,binary label: left image less than right,0D (inferred),Fixed (inferred)
predicate learning (zero from image),image of an integer (zero task),"2D (x, y) (inferred)",Fixed (inferred),Not specified in the paper.,Not specified in the paper.,binary label: image represents zero,0D (inferred),Fixed (inferred)
predicate learning (identity relation from images),classes of images of integers,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,identity relation,Not specified in the paper.,Not specified in the paper.
predicate learning (predecessor relation from images),images of integers,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,predecessor relation on integers,Not specified in the paper.,Not specified in the paper.
